Sat1.A1ModJulian          Sat1.EarthMJ2000Eq.X      Sat1.EarthMJ2000Eq.Y      Sat1.EarthMJ2000Eq.Z      Sat1.EarthMJ2000Eq.VX     Sat1.EarthMJ2000Eq.VY     Sat1.EarthMJ2000Eq.VZ     Sat1.ElapsedSecs          
30538.02591183967         -4605.16851351268         5627.618130214591         -83.16700505281426        -5.467735464683246        -4.651318437398976        -1.634944823400372        2233.748565672431         
30538.02708537908         -5133.990475322053        5126.79992313085          -248.1987486345027        -4.953575243216807        -5.219036137095578        -1.617393626461319        2335.142370464746         
30538.02826329884         -5609.458664622652        4568.88521351385          -411.1610819189668        -4.381228337356197        -5.735521671737533        -1.582164899673151        2436.914638301823         
30538.02942693111         -6019.392848655621        3969.026028725175         -567.75853287411          -3.765780525644781        -6.187340680070951        -1.530212396709785        2537.452465854585         
30538.03058294712         -6363.149482150966        3331.215300437008         -717.3278299667985        -3.110923330401658        -6.573373734800378        -1.462065066003619        2637.332249677274         
30538.03175720774         -6643.402973543317        2647.309079771067         -861.4593486974236        -2.407928706103143        -6.896461473625396        -1.376503369920981        2738.788366795052         
30538.03284443798         -6837.905331177765        1988.011876271889         -986.4857040116984        -1.729284874352828        -7.129763962114366        -1.283231899002685        2832.725059613585         
30538.03397574758         -6971.518775816521        1282.094792827086         -1106.619175788761        -1.001540016232057        -7.302053133922842        -1.172636811882399        2930.470209696796         
30538.03499234137         -7030.270877871156        636.2713082971471         -1204.842252871415        -0.3347198744395874       -7.393379906130193        -1.062268909637643        3018.303912773263         
30538.03599913891         -7030.412504641837        -8.594002996849539        -1292.147359411137        0.3320643251468345        -7.423111829559951        -0.9435483467162813       3105.291219754145         
30538.03702494952         -6970.823892062112        -665.524319340274         -1370.089008259769        1.012241047518314         -7.390328130077025        -0.8138792521425608       3193.921257276088         
30538.03800845432         -6857.25103182084         -1290.042022099927        -1433.703500960257        1.659623554149031         -7.298743890585518        -0.6822708606356895       3278.896072029602         
30538.03898903871         -6689.635668316367        -1902.475248071509        -1485.730020586074        2.295076888868907         -7.148959173900431        -0.5449667023699828       3363.618562789634         
30538.03983769215         -6501.5551477599          -2420.463202945975        -1521.203511774779        2.8328722558141           -6.972695430281178        -0.4220548497391214       3436.942220223136         
30538.04066784096         -6279.922603883808        -2913.161027600251        -1547.073795759764        3.344565762400819         -6.759151149850557        -0.2988983533114433       3508.667077298742         
30538.04148637515         -6026.043082673241        -3382.581606659356        -1563.853363750123        3.832078798562089         -6.509722293678688        -0.1753341280851377       3579.38843134325          
