Sat1.A1ModJulian          Sat1.EarthMJ2000Eq.X      Sat1.EarthMJ2000Eq.Y      Sat1.EarthMJ2000Eq.Z      Sat1.EarthMJ2000Eq.VX     Sat1.EarthMJ2000Eq.VY     Sat1.EarthMJ2000Eq.VZ     Sat1.ElapsedSecs          
30538.00005826831         11335.91979003197         -342.7657263738182        1257.318407994089         0.1280987475983506        7.934860230860258         1.008241851893536         0                         
30538.00017400905         11337.04863166671         -263.4128792047782        1267.38388912492          0.09766924706301319       7.935673698604226         1.004849885987514         10.00000013737008         
30538.00054800087         11338.61605856788         -6.963375716815699        1299.674222748214         -0.0006466407065658774    7.936845804842577         0.9937081344342101        42.31289316667244         
30538.00166818353         11324.33085857005         760.8823507206031         1394.176876809252         -0.2942029197765224       7.927089112272602         0.9587790909930051        139.0966756269336         
30538.0036950825          11226.92406172092         2144.147934673647         1556.192243701053         -0.8152073490898851       7.860113214737215         0.8905636368153337        314.220746490173          
30538.00583654107         11027.13084827929         3586.941354374696         1713.903148762394         -1.338697185413144        7.725579852711755         0.8135981545991846        499.2427670862526         
30538.00801896922         10727.57416517162         5026.17476518285          1859.71057919858          -1.83072426088744         7.531177149182209         0.7327459684898908        687.8045586403459         
30538.01035320987         10309.92691224617         6519.822002958196         1998.768243817            -2.300754647822917        7.273794341406951         0.6465324539985419        889.4829507451504         
30538.01291191479         9750.914798207534         8092.860933859588         2131.530421754082         -2.743831729568434        6.951896550529966         0.5553366280197429        1110.555056494195         
30538.01534398426         9136.238166322066         9519.510691154168         2239.569355533416         -3.095626477289474        6.624603241007934         0.4739509878652175        1320.685858558863         
30538.01772833351         8468.293472727961         10850.49869879854         2329.512469162895         -3.379460882210644        6.296896793421122         0.4003211189578594        1526.693633676041         
30538.02016039085         7732.666123379944         12138.73355825332         2406.329549228697         -3.61346885136502         5.965584652932236         0.3319645691091765        1736.823387478944         
30538.02269964767         6917.870999693722         13410.50084378457         2471.993346478817         -3.806223699472388        5.630265169079941         0.2678462978220704        1956.215176766273         
30538.02539399154         6012.747530422159         14681.38178092695         2527.173653371641         -3.962545488756245        5.291620090516686         0.2074979088051596        2189.006487268489         
30538.02829069206         5004.756307656792         15962.54902075162         2571.830008608003         -4.085579558094597        4.950602578807862         0.150677277505926         2439.281412516721         
30538.03144004575         3879.675800865244         17262.39187275575         2605.380392607357         -4.177511644185978        4.608370942945005         0.09727813303013366       2711.38557116501          
30538.03489513629         2622.422775360299         18586.20529942993         2626.756527923702         -4.239928652798889        4.266531284812888         0.04731900493355151       3009.905393840745         
30538.03869954721         1222.291600569896         19931.96941259494         2634.477088454058         -4.274110150292691        3.928199592461051         0.001042697014666874      3338.606497063302         
30538.04287799625         -322.8989661081815        21289.28951404635         2626.991092039828         -4.281713108056271        3.597989181087114         -0.04116392518743128      3699.624493997544         
30538.04744253193         -2008.950061100894        22644.26538516687         2603.041226018045         -4.265237027071906        3.280475554114099         -0.07901549097620778      4094.000376784243         
30538.05242282163         -3836.76877014221         23989.2334201161          2561.564675543354         -4.22765552836066         2.977860808417923         -0.1125781321778641       4524.297407269478         
30538.05845983179         -6026.200987363567        25457.87604012981         2494.057766705193         -4.165070350431314        2.661874100869651         -0.1449430821806626       5045.895085099619         
30538.06457472296         -8207.440984523919        26790.05167413444         2410.411217935827         -4.090803903028361        2.388075400012907         -0.1706860072003857       5574.221681873314         
30538.07186179202         -10753.23576923492        28203.67364252202         2295.112455396733         -3.995412213851075        2.110289310770831         -0.1945023399776757       6203.824448667001         
30538.07986362875         -13478.37889715693        29571.20952984969         2153.459658985995         -3.88792325531459         1.853169922108054         -0.2143429844701192       6895.1831424376           
30538.08859017984         -16365.81183770763        30876.93687886209         1985.443575758337         -3.77174503199396         1.617216663444462         -0.2305368440981708       7649.157156154979         
30538.09811436352         -19418.68675294174        32116.04413664606         1790.100561028578         -3.648998781345512        1.400637135048608         -0.2435518884712748       8472.046626638621         
30538.10852888607         -22644.0768186827         33284.18256674072         1566.074789285409         -3.52119588982786         1.201517409974563         -0.2538012457398658       9371.861374843866         
30538.11993850355         -26049.59941359505        34375.62831688082         1311.775851424264         -3.389470978123246        1.018146876715675         -0.2616293170590521       10357.65232482227         
30538.13245838227         -29642.2622067474         35382.86631165495         1025.459138495764         -3.254700775233958        0.8490500581128103        -0.2673214499269904       11439.36984662432         
30538.14621520706         -33428.183868708          36296.57281186547         705.2557238673152         -3.11756283169685         0.6929472125480347        -0.2711156155811498       12627.95950864675         
30538.16134828851         -37412.25677294067        37105.56945026296         349.2053320998935         -2.978578036096165        0.5487226680926457        -0.2732112572792805       13935.45774542727         
30538.17801083077         -41597.78362919595        37796.76513424491         -44.70921994952628        -2.838140220896539        0.4153980293684           -0.2737760453089714       15375.10139675578         
30538.19637168963         -45986.14369462809        38355.0909159121          -478.5318580607152        -2.696534267846333        0.2921082940313374        -0.272950946747287        16961.47960253293         
30538.21661713252         -50576.33009688449        38763.39671458604         -954.2930664607119        -2.553950132209866        0.1780852480519323        -0.2708539151312275       18710.68586767651         
30538.23895295892         -55364.42201417997        39002.32857187371         -1473.96466325641         -2.410491325555502        0.07264394690556805       -0.2675825573589125       20640.50126936054         
30538.26360768417         -60343.08457750291        39050.1781398718          -2039.421232829179        -2.266175595191358        -0.02483009298512513      -0.2632158156441317       22770.66953064641         
30538.29083385107         -65500.44721744364        38882.69379256835         -2652.335019537826        -2.120946128634273        -0.1148814533423652       -0.257815324359638        25123.0103506241          
30538.32091200566         -70819.27377596346        38472.90042791087         -3314.103222438788        -1.974664857509266        -0.1979941396638181       -0.2514258090813272       27721.76290737698         
30538.35216200566         -75960.43838447731        37837.7883959566          -3983.675266811159        -1.835586645233952        -0.2703821493431128       -0.2445209891754696       30421.76290737698         
30538.38341200566         -80741.16623186826        37022.76251883199         -4634.390662463895        -1.707331122085895        -0.3317114699470236       -0.2374745286337282       33121.76290737698         
30538.41466200566         -85188.11244111603        36054.41565588201         -5265.981092756477        -1.588072816446916        -0.3842771859418103       -0.2303641045077601       35821.76290737698         
30538.44591200566         -89323.55526458335        34954.02848038322         -5878.340625125598        -1.476374873300958        -0.4297593846408611       -0.2232350387158195       38521.76290737698         
30538.47716200566         -93166.29974782062        33738.9483938781          -6471.456876974226        -1.371087361137694        -0.4694169456255619       -0.2161128766156355       41221.76290737698         
30538.50841200566         -96732.35060546429        32423.54690294875         -7045.368443050666        -1.271275937211367        -0.5042119881830804       -0.2090107725582672       43921.76290737698         
30538.53966200566         -100035.4217007668        31019.90218223089         -7600.137958342007        -1.17617082467324         -0.5348923546034097       -0.2019339554133713       46621.76290737698         
30538.57091200566         -103087.3276243753        29538.2970950914          -8135.834721851851        -1.085129642542273        -0.5620477933163875       -0.1948824929124071       49321.76290737698         
30538.60216200566         -105898.2886742788        27987.59007026553         -8652.523291264142        -0.997609860329586        -0.586149148681526        -0.187853034162206        52021.76290737698         
30538.63341200566         -108477.171166102         26375.49639702577         -9150.25586494882         -0.9131480571714125       -0.6075762722070792       -0.1808399217826669       54721.76290737698         
30538.66466200566         -110831.6786972091        24708.80515425437         -9629.067089128128        -0.8313440695871708       -0.6266382673729637       -0.1738359057917391       57421.76290737698         
30538.69591200566         -112968.5056684511        22993.54908933169         -10088.97042075441        -0.7518487031689485       -0.6435884104507307       -0.1668326003165068       60121.76290737698         
30538.72716200566         -114893.4613568683        21235.13958455812         -10529.95547910201        -0.6743540768106853       -0.6586353012504481       -0.1598207706840553       62821.76290737698         
30538.75841200566         -116611.570699878         19438.47538035674         -10951.98600831988        -0.5985859340991555       -0.6719512957380658       -0.1527905061604169       65521.76290737698         
30538.78966200566         -118127.1564167155        17608.03135624641         -11354.99819339563        -0.5242974391973669       -0.683678945537239        -0.1457313136653018       68221.76290737698         
30538.82091200566         -119443.9059716299        15747.93202593235         -11738.89914909421        -0.4512641018130521       -0.6939359519271742       -0.138632155191676        70921.76290737698         
